"chimney_native0.5_2.12","202","4.128034343011677E-4"
"chimney-protobufs_native0.5_3","180","3.678446519188583E-4"
"chimney-macro-commons_native0.5_3","223","4.5571866212412715E-4"
"chimney-protobufs_native0.5_2.13","178","3.6375748459249735E-4"
"chimney-macro-commons_native0.5_2.13","202","4.128034343011677E-4"
"mdc4s_native0.5_2.12","23","4.700237332144752E-5"
"mdc4s-slf4j_3","23","4.700237332144752E-5"
"mdc4s-cats-effect_sjs1_2.12","23","4.700237332144752E-5"
"mdc4s-cats-effect_2.13","17","3.474088589427993E-5"
"mdc4s-cats-effect_2.12","19","3.8828045944683254E-5"
"mdc4s_sjs1_2.12","17","3.474088589427993E-5"
"mdc4s_sjs1_2.13","19","3.8828045944683254E-5"
"mdc4s_native0.5_3","17","3.474088589427993E-5"
"mdc4s-monix_sjs1_3","18","3.678446591948159E-5"
"mdc4s-cats-effect_3","21","4.291520963306539E-5"
"mdc4s-cats-effect_sjs1_3","19","3.8828045944683254E-5"
"mdc4s-monix_sjs1_2.13","18","3.678446591948159E-5"
"mdc4s_3","21","4.291520963306539E-5"
"mdc4s-monix_sjs1_2.12","18","3.678446591948159E-5"
"mdc4s_2.13","18","3.678446591948159E-5"
"mdc4s-slf4j_2.13","17","3.474088589427993E-5"
"mdc4s-slf4j-test-logger_2.13","18","3.678446591948159E-5"
"mdc4s_sjs1_3","17","3.474088589427993E-5"
"mdc4s-monix_3","17","3.474088589427993E-5"
"mdc4s_native0.5_2.13","21","4.291520963306539E-5"
"mdc4s-monix_2.12","17","3.474088589427993E-5"
"mdc4s-monix_2.13","18","3.678446591948159E-5"
"mdc4s_2.12","17","3.474088589427993E-5"
"mdc4s-slf4j_2.12","18","3.678446591948159E-5"
"mdc4s-cats-effect_sjs1_2.13","18","3.678446591948159E-5"
"mdc4s-slf4j-test-logger_2.12","17","3.474088589427993E-5"
"mdc4s-slf4j-test-logger_3","21","4.291520963306539E-5"
"enumz_sjs1_2.12","25","5.1089537009829655E-5"
"chimney-engine_sjs1_2.12","163","3.3310375874862075E-4"
"chimney-engine_sjs1_2.13","166","3.3923450973816216E-4"
"chimney-engine_3","172","3.51496011717245E-4"
"enumz-chimney_sjs1_2.13","60","1.2261488882359117E-4"
"enumz_native0.5_3","58","1.1852772149723023E-4"
"enumz-chimney_2.12","32","6.539460446219891E-5"
"enumz-chimney_2.13","88","1.798351586330682E-4"
"enumz-chimney_sjs1_2.12","22","4.495878965826705E-5"
"chimney-engine_2.13","171","3.494524280540645E-4"
"enumz-chimney_native0.5_3","55","1.1239697778364643E-4"
"chimney-engine_sjs1_3","174","3.555831790436059E-4"
"enumz-chimney_3","175","3.5762673360295594E-4"
"chimney-engine_2.12","159","3.249294531997293E-4"
"chimney-engine_native0.5_3","168","3.433216770645231E-4"
"enumz_sjs1_3","25","5.1089537009829655E-5"
"enumz_native0.5_2.13","26","5.313311703503132E-5"
"enumz_3","175","3.5762673360295594E-4"
"enumz-chimney_sjs1_3","25","5.1089537009829655E-5"
"enumz_native0.5_2.12","60","1.2261488882359117E-4"
"chimney-engine_native0.5_2.12","169","3.4536526072770357E-4"
"chimney-engine_native0.5_2.13","171","3.494524280540645E-4"
"enumz_sjs1_2.13","25","5.1089537009829655E-5"
"enumz-chimney_native0.5_2.12","25","5.1089537009829655E-5"
"enumz-chimney_native0.5_2.13","27","5.517669706023298E-5"
